epoch 1, Val Loss 0.6764, Val Auc 0.7064, Val AUPR 0.7500 
epoch 1, Test Loss 0.6633, Test Auc 0.7168, Test AUPR 0.7589 
epoch 2, Val Loss 0.6758, Val Auc 0.7051, Val AUPR 0.7500 
epoch 2, Test Loss 0.6626, Test Auc 0.7168, Test AUPR 0.7589 
epoch 3, Val Loss 0.6748, Val Auc 0.7037, Val AUPR 0.7500 
epoch 3, Test Loss 0.6615, Test Auc 0.7168, Test AUPR 0.7768 
epoch 4, Val Loss 0.6735, Val Auc 0.7037, Val AUPR 0.7593 
epoch 4, Test Loss 0.6607, Test Auc 0.7168, Test AUPR 0.6857 
epoch 5, Val Loss 0.6723, Val Auc 0.7064, Val AUPR 0.7685 
epoch 5, Test Loss 0.6611, Test Auc 0.7168, Test AUPR 0.6071 
epoch 6, Val Loss 0.6717, Val Auc 0.7092, Val AUPR 0.7130 
epoch 6, Test Loss 0.6621, Test Auc 0.7168, Test AUPR 0.6071 
epoch 21, Val Loss 0.6715, Val Auc 0.7298, Val AUPR 0.7616 
epoch 21, Test Loss 0.6661, Test Auc 0.7245, Test AUPR 0.7619 
epoch 22, Val Loss 0.6707, Val Auc 0.7298, Val AUPR 0.7616 
epoch 22, Test Loss 0.6650, Test Auc 0.7232, Test AUPR 0.7734 
epoch 23, Val Loss 0.6702, Val Auc 0.7298, Val AUPR 0.7616 
epoch 23, Test Loss 0.6643, Test Auc 0.7219, Test AUPR 0.7734 
epoch 24, Val Loss 0.6696, Val Auc 0.7298, Val AUPR 0.7616 
epoch 24, Test Loss 0.6636, Test Auc 0.7219, Test AUPR 0.7734 
epoch 25, Val Loss 0.6691, Val Auc 0.7298, Val AUPR 0.7770 
epoch 25, Test Loss 0.6629, Test Auc 0.7219, Test AUPR 0.7734 
epoch 26, Val Loss 0.6686, Val Auc 0.7298, Val AUPR 0.7770 
epoch 26, Test Loss 0.6622, Test Auc 0.7219, Test AUPR 0.7734 
epoch 27, Val Loss 0.6685, Val Auc 0.7298, Val AUPR 0.7616 
epoch 27, Test Loss 0.6621, Test Auc 0.7207, Test AUPR 0.7734 
epoch 28, Val Loss 0.6683, Val Auc 0.7298, Val AUPR 0.7616 
epoch 28, Test Loss 0.6618, Test Auc 0.7207, Test AUPR 0.7734 
epoch 29, Val Loss 0.6679, Val Auc 0.7298, Val AUPR 0.7616 
epoch 29, Test Loss 0.6612, Test Auc 0.7207, Test AUPR 0.7619 
epoch 30, Val Loss 0.6678, Val Auc 0.7284, Val AUPR 0.7616 
epoch 30, Test Loss 0.6611, Test Auc 0.7207, Test AUPR 0.7619 
epoch 31, Val Loss 0.6678, Val Auc 0.7284, Val AUPR 0.7474 
epoch 31, Test Loss 0.6608, Test Auc 0.7207, Test AUPR 0.7619 
epoch 35, Val Loss 0.6675, Val Auc 0.7298, Val AUPR 0.7535 
epoch 35, Test Loss 0.6597, Test Auc 0.7207, Test AUPR 0.7656 
epoch 36, Val Loss 0.6672, Val Auc 0.7270, Val AUPR 0.7535 
epoch 36, Test Loss 0.6591, Test Auc 0.7207, Test AUPR 0.7656 
epoch 37, Val Loss 0.6667, Val Auc 0.7257, Val AUPR 0.7535 
epoch 37, Test Loss 0.6585, Test Auc 0.7207, Test AUPR 0.7656 
epoch 38, Val Loss 0.6663, Val Auc 0.7257, Val AUPR 0.7535 
epoch 38, Test Loss 0.6578, Test Auc 0.7207, Test AUPR 0.7656 
epoch 39, Val Loss 0.6658, Val Auc 0.7257, Val AUPR 0.7381 
epoch 39, Test Loss 0.6570, Test Auc 0.7194, Test AUPR 0.7656 
epoch 40, Val Loss 0.6656, Val Auc 0.7243, Val AUPR 0.7381 
epoch 40, Test Loss 0.6565, Test Auc 0.7181, Test AUPR 0.7656 
epoch 41, Val Loss 0.6654, Val Auc 0.7257, Val AUPR 0.7381 
epoch 41, Test Loss 0.6563, Test Auc 0.7168, Test AUPR 0.7656 
epoch 42, Val Loss 0.6653, Val Auc 0.7257, Val AUPR 0.7381 
epoch 42, Test Loss 0.6563, Test Auc 0.7143, Test AUPR 0.7656 
